### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,389,461,-137.385,0,255,0,0,100,1,1
1,99,399,-164.723,0,255,0,0,100,1,1
2,405,653,-98.691,0,255,0,0,100,1,1
3,604,498,98.0355,0,255,0,0,100,1,1
4,506,353,19.249,0,255,0,0,100,1,1
5,371,408,133.742,0,255,0,0,100,1,1
6,431,138,-106.038,0,255,0,0,100,1,1
7,308,147,-29.1801,0,255,0,0,100,1,1
8,450,200,177.206,0,255,0,0,100,1,1
9,609,810,-146.119,0,255,0,0,100,1,1
10,427,837,45.1071,0,255,0,0,100,1,1
11,790,854,12.4792,0,255,0,0,100,1,1
12,699,682,-173.742,0,255,0,0,100,1,1
13,662,493,-136.456,0,255,0,0,100,1,1
14,394,155,-58.5798,0,255,0,0,100,1,1
15,745,812,3.96438,0,255,0,0,100,1,1
16,326,153,13.4266,0,255,0,0,100,1,1
17,240,251,-131.132,0,255,0,0,100,1,1
18,565,816,35.4938,0,255,0,0,100,1,1
19,656,803,-148.877,0,255,0,0,100,1,1
20,508,810,-16.0172,0,255,0,0,100,1,1
21,675,520,-72.452,0,255,0,0,100,1,1
22,653,209,5.08965,0,255,0,0,100,1,1
23,536,381,-23.6317,0,255,0,0,100,1,1
24,640,842,-67.5875,0,255,0,0,100,1,1
25,407,36,-130.119,0,255,0,0,100,1,1
26,821,575,-8.03235,0,255,0,0,100,1,1
27,896,561,-121.065,0,255,0,0,100,1,1
28,663,863,-57.7605,0,255,0,0,100,1,1
29,271,209,4.50654,0,255,0,0,100,1,1
30,336,398,107.081,0,255,0,0,100,1,1
31,860,795,95.8871,0,255,0,0,100,1,1
32,559,529,-94.9082,0,255,0,0,100,1,1
33,778,566,-24.1899,0,255,0,0,100,1,1
34,643,912,-11.3826,0,255,0,0,100,1,1
35,961,392,140.301,0,255,0,0,100,1,1
36,393,208,108.767,0,255,0,0,100,1,1
37,566,593,-74.9814,0,255,0,0,100,1,1
38,750,436,138.544,0,255,0,0,100,1,1
39,576,872,-179.449,0,255,0,0,100,1,1
40,335,636,83.3971,0,255,0,0,100,1,1
41,304,750,50.5803,0,255,0,0,100,1,1
42,879,640,162.097,0,255,0,0,100,1,1
43,536,696,-3.97833,0,255,0,0,100,1,1
44,268,720,108.952,0,255,0,0,100,1,1
45,811,251,-34.0699,0,255,0,0,100,1,1
46,699,655,-11.6264,0,255,0,0,100,1,1
47,735,816,83.6753,0,255,0,0,100,1,1
48,317,280,100.291,0,255,0,0,100,1,1
49,588,335,-1.41424,0,255,0,0,100,1,1
50,397,682,-123.209,0,255,0,0,100,1,1
51,642,63,-90.8643,0,255,0,0,100,1,1
52,585,566,146.839,0,255,0,0,100,1,1
53,353,386,29.5187,0,255,0,0,100,1,1
54,760,128,109.378,0,255,0,0,100,1,1
55,386,875,65.7339,0,255,0,0,100,1,1
56,223,206,-148.655,0,255,0,0,100,1,1
