### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,464,594,-15.0787,0,255,0,0,100,1,1
1,829,436,-76.0335,0,255,0,0,100,1,1
2,535,303,-166.602,0,255,0,0,100,1,1
3,378,852,-154.623,0,255,0,0,100,1,1
4,217,695,-167.095,0,255,0,0,100,1,1
5,190,588,73.46,0,255,0,0,100,1,1
6,90,484,-91.7141,0,255,0,0,100,1,1
7,683,431,-100.65,0,255,0,0,100,1,1
8,576,402,56.1026,0,255,0,0,100,1,1
9,728,156,-43.5891,0,255,0,0,100,1,1
10,340,781,41.5447,0,255,0,0,100,1,1
11,183,426,-4.44958,0,255,0,0,100,1,1
12,141,335,-51.1147,0,255,0,0,100,1,1
13,297,550,-70.1433,0,255,0,0,100,1,1
14,188,420,17.9416,0,255,0,0,100,1,1
15,762,658,-164.082,0,255,0,0,100,1,1
16,275,557,135.766,0,255,0,0,100,1,1
17,253,574,-24.7167,0,255,0,0,100,1,1
18,260,865,153.477,0,255,0,0,100,1,1
19,25,535,39.6529,0,255,0,0,100,1,1
20,122,351,-127.437,0,255,0,0,100,1,1
21,665,549,164.184,0,255,0,0,100,1,1
22,426,457,-9.55349,0,255,0,0,100,1,1
23,239,552,-103.883,0,255,0,0,100,1,1
24,545,898,9.50291,0,255,0,0,100,1,1
25,920,289,71.1093,0,255,0,0,100,1,1
26,337,725,78.7798,0,255,0,0,100,1,1
27,747,454,-167.635,0,255,0,0,100,1,1
28,211,348,56.4,0,255,0,0,100,1,1
29,507,313,-87.292,0,255,0,0,100,1,1
30,254,490,15.0143,0,255,0,0,100,1,1
31,469,632,-36.4247,0,255,0,0,100,1,1
32,202,812,112.227,0,255,0,0,100,1,1
33,884,544,113.724,0,255,0,0,100,1,1
34,721,405,169.981,0,255,0,0,100,1,1
35,796,741,-152.208,0,255,0,0,100,1,1
36,521,495,-50.9444,0,255,0,0,100,1,1
37,298,414,-133.853,0,255,0,0,100,1,1
38,746,339,86.5948,0,255,0,0,100,1,1
39,545,106,99.2238,0,255,0,0,100,1,1
40,477,695,62.2668,0,255,0,0,100,1,1
41,776,450,-127.649,0,255,0,0,100,1,1
42,124,627,-169.046,0,255,0,0,100,1,1
43,487,930,170.372,0,255,0,0,100,1,1
44,513,591,103.735,0,255,0,0,100,1,1
45,142,420,155.488,0,255,0,0,100,1,1
46,221,672,41.1246,0,255,0,0,100,1,1
47,277,76,-95.7734,0,255,0,0,100,1,1
48,264,390,141.275,0,255,0,0,100,1,1
49,261,716,-22.9194,0,255,0,0,100,1,1
50,197,433,-172.891,0,255,0,0,100,1,1
51,640,730,69.6798,0,255,0,0,100,1,1
52,824,777,-167.999,0,255,0,0,100,1,1
53,375,466,83.9327,0,255,0,0,100,1,1
54,823,270,-132.222,0,255,0,0,100,1,1
55,134,451,-151.16,0,255,0,0,100,1,1
56,541,54,-19.2516,0,255,0,0,100,1,1
57,557,206,-159.475,0,255,0,0,100,1,1
58,283,658,125.5,0,255,0,0,100,1,1
59,721,486,22.0718,0,255,0,0,100,1,1
60,512,343,-124.189,0,255,0,0,100,1,1
61,618,574,-67.3258,0,255,0,0,100,1,1
62,236,826,149.289,0,255,0,0,100,1,1
63,750,833,110.391,0,255,0,0,100,1,1
64,93,653,-119.313,0,255,0,0,100,1,1
65,385,395,-141.974,0,255,0,0,100,1,1
66,702,818,-170.228,0,255,0,0,100,1,1
67,658,750,-146.196,0,255,0,0,100,1,1
68,659,576,-47.6537,0,255,0,0,100,1,1
69,266,132,-65.4246,0,255,0,0,100,1,1
70,101,398,6.75582,0,255,0,0,100,1,1
71,202,233,-179.979,0,255,0,0,100,1,1
72,441,388,150.526,0,255,0,0,100,1,1
73,826,472,88.171,0,255,0,0,100,1,1
74,81,419,140.687,0,255,0,0,100,1,1
75,175,577,87.8831,0,255,0,0,100,1,1
76,447,76,119.817,0,255,0,0,100,1,1
77,646,419,-74.9378,0,255,0,0,100,1,1
78,647,326,3.74626,0,255,0,0,100,1,1
79,406,701,-42.4411,0,255,0,0,100,1,1
80,760,173,-51.1166,0,255,0,0,100,1,1
81,297,894,88.8788,0,255,0,0,100,1,1
82,327,281,-41.8634,0,255,0,0,100,1,1
83,700,447,48.2841,0,255,0,0,100,1,1
84,424,418,82.6162,0,255,0,0,100,1,1
85,404,155,-46.0213,0,255,0,0,100,1,1
86,757,397,93.9663,0,255,0,0,100,1,1
87,214,661,-108.258,0,255,0,0,100,1,1
88,302,909,118.753,0,255,0,0,100,1,1
89,478,798,71.2044,0,255,0,0,100,1,1
90,879,775,79.4433,0,255,0,0,100,1,1
91,294,381,98.6729,0,255,0,0,100,1,1
92,442,412,84.3604,0,255,0,0,100,1,1
93,676,840,-171.26,0,255,0,0,100,1,1
94,449,474,-76.5353,0,255,0,0,100,1,1
95,866,479,14.2784,0,255,0,0,100,1,1
96,412,50,-49.9421,0,255,0,0,100,1,1
97,584,492,119.771,0,255,0,0,100,1,1
98,706,736,40.0836,0,255,0,0,100,1,1
99,714,912,-176.323,0,255,0,0,100,1,1
100,189,544,28.3727,0,255,0,0,100,1,1
101,403,462,-179.956,0,255,0,0,100,1,1
102,372,340,82.8298,0,255,0,0,100,1,1
103,623,189,-74.4151,0,255,0,0,100,1,1
104,265,690,110.576,0,255,0,0,100,1,1
105,967,479,51.9576,0,255,0,0,100,1,1
106,585,243,-127.162,0,255,0,0,100,1,1
107,513,122,136.818,0,255,0,0,100,1,1
108,769,439,66.5411,0,255,0,0,100,1,1
109,730,724,-157.068,0,255,0,0,100,1,1
110,311,799,60.2163,0,255,0,0,100,1,1
111,558,128,-179.07,0,255,0,0,100,1,1
112,258,477,70.7866,0,255,0,0,100,1,1
113,660,737,-165.014,0,255,0,0,100,1,1
114,220,335,-113.6,0,255,0,0,100,1,1
115,674,322,144.509,0,255,0,0,100,1,1
116,819,335,119.464,0,255,0,0,100,1,1
117,868,578,-136.367,0,255,0,0,100,1,1
118,53,502,179.154,0,255,0,0,100,1,1
119,811,237,65.6325,0,255,0,0,100,1,1
120,84,576,-7.58611,0,255,0,0,100,1,1
121,231,150,121.496,0,255,0,0,100,1,1
122,819,754,35.4529,0,255,0,0,100,1,1
123,590,690,112.892,0,255,0,0,100,1,1
124,930,674,154.571,0,255,0,0,100,1,1
125,191,713,107.809,0,255,0,0,100,1,1
126,320,167,113.814,0,255,0,0,100,1,1
127,478,777,-75.2765,0,255,0,0,100,1,1
128,762,384,137.166,0,255,0,0,100,1,1
129,573,722,162.897,0,255,0,0,100,1,1
130,374,106,64.9833,0,255,0,0,100,1,1
131,412,518,14.2362,0,255,0,0,100,1,1
132,629,120,-116.08,0,255,0,0,100,1,1
133,174,748,-147.787,0,255,0,0,100,1,1
134,553,702,132.208,0,255,0,0,100,1,1
135,535,33,-29.4161,0,255,0,0,100,1,1
136,276,166,100.06,0,255,0,0,100,1,1
137,399,513,85.818,0,255,0,0,100,1,1
138,115,396,-101.663,0,255,0,0,100,1,1
139,413,370,60.823,0,255,0,0,100,1,1
140,832,621,-132.427,0,255,0,0,100,1,1
141,635,630,152.705,0,255,0,0,100,1,1
142,237,638,-85.0187,0,255,0,0,100,1,1
143,638,214,-148.337,0,255,0,0,100,1,1
144,807,785,-56.9909,0,255,0,0,100,1,1
145,842,579,14.772,0,255,0,0,100,1,1
146,619,353,-152.581,0,255,0,0,100,1,1
147,780,226,-98.7041,0,255,0,0,100,1,1
148,559,30,12.7298,0,255,0,0,100,1,1
149,402,908,-85.5372,0,255,0,0,100,1,1
150,911,431,160.049,0,255,0,0,100,1,1
151,798,371,-54.6892,0,255,0,0,100,1,1
152,440,947,132.778,0,255,0,0,100,1,1
153,625,870,130.39,0,255,0,0,100,1,1
154,340,437,-105.057,0,255,0,0,100,1,1
155,441,439,-63.744,0,255,0,0,100,1,1
156,724,888,-15.9285,0,255,0,0,100,1,1
157,171,441,-156.95,0,255,0,0,100,1,1
158,426,956,-139.632,0,255,0,0,100,1,1
159,378,960,119.216,0,255,0,0,100,1,1
160,740,767,170.548,0,255,0,0,100,1,1
161,450,753,35.3601,0,255,0,0,100,1,1
162,535,717,175.042,0,255,0,0,100,1,1
163,254,171,78.7465,0,255,0,0,100,1,1
164,467,646,50.0983,0,255,0,0,100,1,1
165,788,662,-168.916,0,255,0,0,100,1,1
166,589,779,14.8553,0,255,0,0,100,1,1
167,397,45,-153.171,0,255,0,0,100,1,1
168,130,320,18.1321,0,255,0,0,100,1,1
169,626,853,-158.043,0,255,0,0,100,1,1
170,121,505,80.9406,0,255,0,0,100,1,1
171,239,391,35.3143,0,255,0,0,100,1,1
172,453,719,27.7835,0,255,0,0,100,1,1
173,126,766,173.073,0,255,0,0,100,1,1
174,562,730,-140.853,0,255,0,0,100,1,1
175,881,381,-172.764,0,255,0,0,100,1,1
176,191,610,22.148,0,255,0,0,100,1,1
177,594,139,-63.0448,0,255,0,0,100,1,1
178,528,698,25.4308,0,255,0,0,100,1,1
179,522,822,-42.6168,0,255,0,0,100,1,1
180,153,386,-40.3695,0,255,0,0,100,1,1
181,445,971,55.603,0,255,0,0,100,1,1
182,322,933,-71.1203,0,255,0,0,100,1,1
183,326,438,-4.58077,0,255,0,0,100,1,1
184,549,743,100.978,0,255,0,0,100,1,1
185,734,749,129.194,0,255,0,0,100,1,1
186,260,157,-73.624,0,255,0,0,100,1,1
187,476,951,-148.787,0,255,0,0,100,1,1
188,284,814,-25.3135,0,255,0,0,100,1,1
189,472,719,125.998,0,255,0,0,100,1,1
190,316,801,-167.088,0,255,0,0,100,1,1
191,48,390,70.3319,0,255,0,0,100,1,1
192,863,671,-129.824,0,255,0,0,100,1,1
193,910,585,21.1148,0,255,0,0,100,1,1
194,432,793,-81.4858,0,255,0,0,100,1,1
195,595,84,-89.1688,0,255,0,0,100,1,1
196,290,275,128.809,0,255,0,0,100,1,1
197,622,486,-3.66391,0,255,0,0,100,1,1
198,552,561,97.3608,0,255,0,0,100,1,1
199,364,476,2.22263,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
