### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,152,555,68.7678,0,255,0,0,100,1,1
1,221,114,-172.014,0,255,0,0,100,1,1
2,336,864,74.1421,0,255,0,0,100,1,1
3,512,859,-35.5066,0,255,0,0,100,1,1
4,315,414,40.0613,0,255,0,0,100,1,1
5,282,866,146.401,0,255,0,0,100,1,1
6,516,580,73.069,0,255,0,0,100,1,1
7,766,197,-69.3837,0,255,0,0,100,1,1
8,167,737,-28.2594,0,255,0,0,100,1,1
9,232,415,178.737,0,255,0,0,100,1,1
10,607,753,162.968,0,255,0,0,100,1,1
11,931,570,-42.21,0,255,0,0,100,1,1
12,425,371,-150.136,0,255,0,0,100,1,1
13,236,248,31.9667,0,255,0,0,100,1,1
14,131,626,-49.7911,0,255,0,0,100,1,1
15,343,496,-36.5031,0,255,0,0,100,1,1
16,600,493,30.7584,0,255,0,0,100,1,1
17,242,514,122.887,0,255,0,0,100,1,1
18,555,375,-179.279,0,255,0,0,100,1,1
19,182,456,-11.0759,0,255,0,0,100,1,1
20,718,834,-78.922,0,255,0,0,100,1,1
21,736,509,-147.606,0,255,0,0,100,1,1
22,187,508,27.7816,0,255,0,0,100,1,1
23,560,451,139.573,0,255,0,0,100,1,1
24,725,316,40.0572,0,255,0,0,100,1,1
25,336,595,147.68,0,255,0,0,100,1,1
26,491,455,-158.267,0,255,0,0,100,1,1
27,131,240,76.7523,0,255,0,0,100,1,1
28,280,809,-102.535,0,255,0,0,100,1,1
29,298,468,145.695,0,255,0,0,100,1,1
30,589,163,82.4318,0,255,0,0,100,1,1
31,885,310,78.9434,0,255,0,0,100,1,1
32,90,456,160.968,0,255,0,0,100,1,1
33,617,617,116.956,0,255,0,0,100,1,1
34,640,85,50.718,0,255,0,0,100,1,1
35,530,189,14.2021,0,255,0,0,100,1,1
36,114,705,-76.8966,0,255,0,0,100,1,1
37,168,367,163.848,0,255,0,0,100,1,1
38,618,444,4.91591,0,255,0,0,100,1,1
39,495,957,-58.0407,0,255,0,0,100,1,1
40,953,564,-51.4413,0,255,0,0,100,1,1
41,740,844,86.6184,0,255,0,0,100,1,1
42,515,547,-3.03438,0,255,0,0,100,1,1
43,670,703,119.702,0,255,0,0,100,1,1
44,482,105,-48.4906,0,255,0,0,100,1,1
45,348,668,-135.851,0,255,0,0,100,1,1
46,139,209,-61.0696,0,255,0,0,100,1,1
47,893,323,-64.4407,0,255,0,0,100,1,1
48,404,407,-167.014,0,255,0,0,100,1,1
49,497,75,-93.0802,0,255,0,0,100,1,1
50,140,456,38.5428,0,255,0,0,100,1,1
51,638,750,-9.89263,0,255,0,0,100,1,1
52,619,949,-37.2244,0,255,0,0,100,1,1
53,778,559,-55.5492,0,255,0,0,100,1,1
54,292,740,-37.5422,0,255,0,0,100,1,1
55,275,538,-166.035,0,255,0,0,100,1,1
56,206,655,144.257,0,255,0,0,100,1,1
57,129,691,-88.0442,0,255,0,0,100,1,1
58,848,466,-100.247,0,255,0,0,100,1,1
59,241,400,128.986,0,255,0,0,100,1,1
60,563,102,-59.4269,0,255,0,0,100,1,1
61,295,301,134.423,0,255,0,0,100,1,1
62,160,542,45.2605,0,255,0,0,100,1,1
63,384,666,173.243,0,255,0,0,100,1,1
64,365,117,66.8501,0,255,0,0,100,1,1
65,744,458,93.5357,0,255,0,0,100,1,1
66,335,556,139.055,0,255,0,0,100,1,1
67,229,591,-35.292,0,255,0,0,100,1,1
68,755,248,-144.195,0,255,0,0,100,1,1
69,285,822,44.5711,0,255,0,0,100,1,1
70,609,390,154.306,0,255,0,0,100,1,1
71,488,787,-28.7523,0,255,0,0,100,1,1
72,171,490,115.589,0,255,0,0,100,1,1
73,434,448,-154.338,0,255,0,0,100,1,1
74,306,620,-109.901,0,255,0,0,100,1,1
75,349,123,-124.692,0,255,0,0,100,1,1
76,632,560,138.898,0,255,0,0,100,1,1
77,415,53,-72.9507,0,255,0,0,100,1,1
78,557,203,-19.9885,0,255,0,0,100,1,1
79,254,600,63.1992,0,255,0,0,100,1,1
80,130,683,31.498,0,255,0,0,100,1,1
81,142,201,39.5244,0,255,0,0,100,1,1
82,819,733,178.213,0,255,0,0,100,1,1
83,723,419,-55.5584,0,255,0,0,100,1,1
84,160,211,73.0286,0,255,0,0,100,1,1
85,273,205,90.6521,0,255,0,0,100,1,1
86,548,972,32.6218,0,255,0,0,100,1,1
87,728,894,-167.762,0,255,0,0,100,1,1
88,782,877,63.5855,0,255,0,0,100,1,1
89,274,481,137.209,0,255,0,0,100,1,1
90,201,220,-100.285,0,255,0,0,100,1,1
91,192,401,-82.2245,0,255,0,0,100,1,1
92,658,630,173.281,0,255,0,0,100,1,1
93,925,374,-134.15,0,255,0,0,100,1,1
94,314,342,-153.646,0,255,0,0,100,1,1
95,694,187,-11.3656,0,255,0,0,100,1,1
96,534,316,94.9614,0,255,0,0,100,1,1
97,689,658,-16.9957,0,255,0,0,100,1,1
98,414,356,-88.3345,0,255,0,0,100,1,1
99,633,80,-75.5114,0,255,0,0,100,1,1
100,463,870,54.4311,0,255,0,0,100,1,1
101,354,623,-134.346,0,255,0,0,100,1,1
102,48,632,-41.6772,0,255,0,0,100,1,1
103,522,273,146.483,0,255,0,0,100,1,1
104,92,617,109.093,0,255,0,0,100,1,1
105,933,341,-156.563,0,255,0,0,100,1,1
106,312,482,64.9778,0,255,0,0,100,1,1
107,316,883,-4.34481,0,255,0,0,100,1,1
108,255,253,-80.5092,0,255,0,0,100,1,1
109,290,169,-122.567,0,255,0,0,100,1,1
110,413,190,-145.156,0,255,0,0,100,1,1
111,582,547,60.2576,0,255,0,0,100,1,1
112,768,818,59.5658,0,255,0,0,100,1,1
113,356,634,72.0293,0,255,0,0,100,1,1
114,294,684,-61.8526,0,255,0,0,100,1,1
115,378,842,51.4056,0,255,0,0,100,1,1
116,767,460,-147.712,0,255,0,0,100,1,1
117,463,968,136.368,0,255,0,0,100,1,1
118,876,311,4.06642,0,255,0,0,100,1,1
119,215,283,-174.823,0,255,0,0,100,1,1
120,181,608,140.34,0,255,0,0,100,1,1
121,276,181,-132.37,0,255,0,0,100,1,1
122,167,698,-43.0357,0,255,0,0,100,1,1
123,183,283,-54.2005,0,255,0,0,100,1,1
124,731,708,160.629,0,255,0,0,100,1,1
125,446,630,94.8061,0,255,0,0,100,1,1
126,58,392,-74.9851,0,255,0,0,100,1,1
127,833,603,59.2112,0,255,0,0,100,1,1
128,603,97,-149.053,0,255,0,0,100,1,1
129,662,504,-160.995,0,255,0,0,100,1,1
130,259,497,-112.183,0,255,0,0,100,1,1
131,542,148,-69.2672,0,255,0,0,100,1,1
132,418,529,-97.0754,0,255,0,0,100,1,1
133,425,752,99.3039,0,255,0,0,100,1,1
134,254,552,-120.037,0,255,0,0,100,1,1
135,939,367,150.974,0,255,0,0,100,1,1
136,323,637,86.6772,0,255,0,0,100,1,1
137,296,388,6.03187,0,255,0,0,100,1,1
138,493,251,-16.0397,0,255,0,0,100,1,1
139,644,351,91.756,0,255,0,0,100,1,1
140,673,789,144.745,0,255,0,0,100,1,1
141,318,687,138.035,0,255,0,0,100,1,1
142,918,629,-76.3379,0,255,0,0,100,1,1
143,783,589,40.1029,0,255,0,0,100,1,1
144,643,266,161.839,0,255,0,0,100,1,1
145,452,865,25.631,0,255,0,0,100,1,1
146,637,703,95.6219,0,255,0,0,100,1,1
147,434,836,-38.7396,0,255,0,0,100,1,1
148,259,680,159.993,0,255,0,0,100,1,1
149,531,285,161.089,0,255,0,0,100,1,1
150,463,207,157.957,0,255,0,0,100,1,1
151,156,753,-121.214,0,255,0,0,100,1,1
152,216,430,-57.716,0,255,0,0,100,1,1
153,443,910,-29.7403,0,255,0,0,100,1,1
154,715,194,-69.6154,0,255,0,0,100,1,1
155,353,206,-99.907,0,255,0,0,100,1,1
156,540,399,-70.4077,0,255,0,0,100,1,1
