### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,357,253,108.676,0,255,0,0,100,1,1
1,742,855,-130.754,0,255,0,0,100,1,1
2,416,432,169.527,0,255,0,0,100,1,1
3,766,349,150.233,0,255,0,0,100,1,1
4,607,435,4.25277,0,255,0,0,100,1,1
5,428,767,133.936,0,255,0,0,100,1,1
6,368,301,-80.9553,0,255,0,0,100,1,1
7,665,784,-120.54,0,255,0,0,100,1,1
8,480,544,-68.8106,0,255,0,0,100,1,1
9,257,473,31.1671,0,255,0,0,100,1,1
10,272,401,-1.00283,0,255,0,0,100,1,1
11,614,338,-69.4893,0,255,0,0,100,1,1
12,392,705,-179.293,0,255,0,0,100,1,1
13,70,318,135.004,0,255,0,0,100,1,1
14,667,906,93.8039,0,255,0,0,100,1,1
15,175,253,-19.3304,0,255,0,0,100,1,1
16,525,782,122.842,0,255,0,0,100,1,1
17,815,650,-151.348,0,255,0,0,100,1,1
18,398,97,-44.2762,0,255,0,0,100,1,1
19,888,717,-137.897,0,255,0,0,100,1,1
20,273,367,173.05,0,255,0,0,100,1,1
21,163,210,74.2948,0,255,0,0,100,1,1
22,43,568,-179.432,0,255,0,0,100,1,1
23,610,209,-148.031,0,255,0,0,100,1,1
24,589,217,10.5655,0,255,0,0,100,1,1
25,257,682,137.716,0,255,0,0,100,1,1
26,458,497,132.009,0,255,0,0,100,1,1
27,241,617,15.5081,0,255,0,0,100,1,1
28,554,586,-150.215,0,255,0,0,100,1,1
29,744,566,-95.7654,0,255,0,0,100,1,1
30,690,440,85.8,0,255,0,0,100,1,1
31,799,453,-157.586,0,255,0,0,100,1,1
32,362,811,113.115,0,255,0,0,100,1,1
33,120,561,141.264,0,255,0,0,100,1,1
34,388,361,33.518,0,255,0,0,100,1,1
35,341,228,178.199,0,255,0,0,100,1,1
36,259,511,56.0379,0,255,0,0,100,1,1
37,863,627,161.138,0,255,0,0,100,1,1
38,576,265,131.576,0,255,0,0,100,1,1
39,427,711,96.8653,0,255,0,0,100,1,1
40,490,293,74.0689,0,255,0,0,100,1,1
41,220,120,156.069,0,255,0,0,100,1,1
42,689,152,-115.159,0,255,0,0,100,1,1
43,638,573,-91.9664,0,255,0,0,100,1,1
44,676,824,102.818,0,255,0,0,100,1,1
45,901,475,-27.7095,0,255,0,0,100,1,1
46,413,872,-117.932,0,255,0,0,100,1,1
47,300,719,-52.1068,0,255,0,0,100,1,1
48,77,365,171.217,0,255,0,0,100,1,1
49,634,186,-144.025,0,255,0,0,100,1,1
50,74,658,3.22083,0,255,0,0,100,1,1
51,431,28,124.311,0,255,0,0,100,1,1
52,148,652,126.155,0,255,0,0,100,1,1
53,582,872,-47.6382,0,255,0,0,100,1,1
54,496,834,104.509,0,255,0,0,100,1,1
55,664,194,-51.2253,0,255,0,0,100,1,1
56,687,550,17.5893,0,255,0,0,100,1,1
57,277,541,59.0789,0,255,0,0,100,1,1
58,793,419,141.503,0,255,0,0,100,1,1
59,856,465,-149.091,0,255,0,0,100,1,1
60,647,121,-159.383,0,255,0,0,100,1,1
61,264,409,-8.60575,0,255,0,0,100,1,1
62,263,626,95.5602,0,255,0,0,100,1,1
63,683,581,-137.509,0,255,0,0,100,1,1
64,850,474,20.6035,0,255,0,0,100,1,1
65,948,457,-59.5148,0,255,0,0,100,1,1
66,675,931,-6.12906,0,255,0,0,100,1,1
67,639,851,-116.022,0,255,0,0,100,1,1
68,57,627,-104.649,0,255,0,0,100,1,1
69,471,691,86.0792,0,255,0,0,100,1,1
70,389,552,-86.3383,0,255,0,0,100,1,1
71,522,271,5.87757,0,255,0,0,100,1,1
