### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,68,304,16.2785,0,255,0,0,100,1,1
1,204,787,134.706,0,255,0,0,100,1,1
2,469,284,-108.307,0,255,0,0,100,1,1
3,431,45,162.843,0,255,0,0,100,1,1
4,447,348,165.737,0,255,0,0,100,1,1
5,137,395,7.22043,0,255,0,0,100,1,1
6,813,232,-137.865,0,255,0,0,100,1,1
7,766,604,-150.36,0,255,0,0,100,1,1
8,719,272,-141.355,0,255,0,0,100,1,1
9,748,297,-95.2774,0,255,0,0,100,1,1
10,641,861,125.434,0,255,0,0,100,1,1
11,559,798,79.4874,0,255,0,0,100,1,1
12,561,514,-8.87903,0,255,0,0,100,1,1
13,168,566,-175.801,0,255,0,0,100,1,1
14,518,895,-70.1289,0,255,0,0,100,1,1
15,673,657,91.4357,0,255,0,0,100,1,1
16,427,598,98.7009,0,255,0,0,100,1,1
17,226,711,101.939,0,255,0,0,100,1,1
18,86,701,-28.822,0,255,0,0,100,1,1
19,738,138,-93.7757,0,255,0,0,100,1,1
20,799,467,-57.2841,0,255,0,0,100,1,1
21,482,161,71.4098,0,255,0,0,100,1,1
22,654,689,-7.06172,0,255,0,0,100,1,1
23,423,729,46.7656,0,255,0,0,100,1,1
24,688,366,179.433,0,255,0,0,100,1,1
25,475,874,-19.5172,0,255,0,0,100,1,1
26,532,416,-63.458,0,255,0,0,100,1,1
27,466,374,117.802,0,255,0,0,100,1,1
28,737,554,116.687,0,255,0,0,100,1,1
29,811,449,-97.8099,0,255,0,0,100,1,1
30,576,767,176.284,0,255,0,0,100,1,1
31,375,85,-54.9344,0,255,0,0,100,1,1
32,636,595,110.966,0,255,0,0,100,1,1
33,359,269,-45.0635,0,255,0,0,100,1,1
34,299,262,-114.841,0,255,0,0,100,1,1
35,507,316,-167.456,0,255,0,0,100,1,1
36,483,261,163.944,0,255,0,0,100,1,1
37,165,264,-8.31191,0,255,0,0,100,1,1
38,663,515,-84.8643,0,255,0,0,100,1,1
39,516,54,30.5457,0,255,0,0,100,1,1
40,655,422,21.5597,0,255,0,0,100,1,1
41,680,238,90.8595,0,255,0,0,100,1,1
42,649,223,-171.046,0,255,0,0,100,1,1
43,391,558,74.205,0,255,0,0,100,1,1
44,42,636,6.88537,0,255,0,0,100,1,1
45,942,462,101.878,0,255,0,0,100,1,1
46,388,539,-162.404,0,255,0,0,100,1,1
47,763,536,112.195,0,255,0,0,100,1,1
48,225,529,-45.3591,0,255,0,0,100,1,1
49,251,860,162.641,0,255,0,0,100,1,1
50,312,858,32.4057,0,255,0,0,100,1,1
51,305,367,134.793,0,255,0,0,100,1,1
52,307,88,173.558,0,255,0,0,100,1,1
53,811,457,44.1437,0,255,0,0,100,1,1
54,475,207,0.451715,0,255,0,0,100,1,1
55,438,337,-69.7172,0,255,0,0,100,1,1
56,511,491,-117.878,0,255,0,0,100,1,1
57,183,608,162.967,0,255,0,0,100,1,1
58,491,782,-49.8553,0,255,0,0,100,1,1
59,102,458,-118.996,0,255,0,0,100,1,1
60,800,431,-50.5944,0,255,0,0,100,1,1
61,370,828,-34.0825,0,255,0,0,100,1,1
62,525,608,172.213,0,255,0,0,100,1,1
63,451,717,-178.354,0,255,0,0,100,1,1
64,703,69,151.658,0,255,0,0,100,1,1
65,464,485,-12.058,0,255,0,0,100,1,1
66,183,506,-78.2852,0,255,0,0,100,1,1
67,560,64,-62.1095,0,255,0,0,100,1,1
68,341,765,-127.374,0,255,0,0,100,1,1
