### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,757,426,-67.8043,0,255,0,0,100,1,1
1,885,691,-63.484,0,255,0,0,100,1,1
2,836,427,-79.6428,0,255,0,0,100,1,1
3,441,520,27.0186,0,255,0,0,100,1,1
4,917,430,-165.558,0,255,0,0,100,1,1
5,600,643,-8.21792,0,255,0,0,100,1,1
6,776,770,-50.9012,0,255,0,0,100,1,1
7,324,325,-149.647,0,255,0,0,100,1,1
8,841,230,-17.7397,0,255,0,0,100,1,1
9,498,743,158.755,0,255,0,0,100,1,1
10,429,781,-40.7929,0,255,0,0,100,1,1
11,394,498,166.85,0,255,0,0,100,1,1
12,594,47,79.1524,0,255,0,0,100,1,1
13,726,260,-144.84,0,255,0,0,100,1,1
14,694,164,-45.9554,0,255,0,0,100,1,1
15,816,167,-178.848,0,255,0,0,100,1,1
16,385,526,164.235,0,255,0,0,100,1,1
17,200,371,7.93014,0,255,0,0,100,1,1
18,661,881,177.415,0,255,0,0,100,1,1
19,529,87,12.915,0,255,0,0,100,1,1
20,201,790,67.7173,0,255,0,0,100,1,1
21,816,301,96.1248,0,255,0,0,100,1,1
22,170,336,120.411,0,255,0,0,100,1,1
23,299,378,-147.697,0,255,0,0,100,1,1
24,653,725,76.0573,0,255,0,0,100,1,1
25,195,141,95.0932,0,255,0,0,100,1,1
26,287,882,98.7973,0,255,0,0,100,1,1
27,271,517,-100.433,0,255,0,0,100,1,1
28,408,211,3.76019,0,255,0,0,100,1,1
29,782,415,-167.661,0,255,0,0,100,1,1
30,569,768,-172.6,0,255,0,0,100,1,1
31,502,461,-90.1559,0,255,0,0,100,1,1
32,825,708,-105.813,0,255,0,0,100,1,1
33,561,656,130.413,0,255,0,0,100,1,1
34,379,441,118.196,0,255,0,0,100,1,1
35,757,658,-82.3586,0,255,0,0,100,1,1
36,872,252,76.3912,0,255,0,0,100,1,1
37,536,181,162.944,0,255,0,0,100,1,1
38,544,520,-31.0208,0,255,0,0,100,1,1
39,296,741,73.3729,0,255,0,0,100,1,1
40,275,758,-3.21531,0,255,0,0,100,1,1
41,119,705,51.942,0,255,0,0,100,1,1
42,375,880,-19.8289,0,255,0,0,100,1,1
43,285,113,1.05189,0,255,0,0,100,1,1
44,454,660,41.8741,0,255,0,0,100,1,1
45,100,453,46.5923,0,255,0,0,100,1,1
46,366,648,-76.0701,0,255,0,0,100,1,1
47,278,252,109.727,0,255,0,0,100,1,1
48,382,168,71.6983,0,255,0,0,100,1,1
49,54,410,-14.0845,0,255,0,0,100,1,1
50,129,800,-118.881,0,255,0,0,100,1,1
51,883,453,-27.382,0,255,0,0,100,1,1
52,683,651,177.938,0,255,0,0,100,1,1
53,548,39,167.914,0,255,0,0,100,1,1
54,606,144,-14.7972,0,255,0,0,100,1,1
55,598,97,-99.2336,0,255,0,0,100,1,1
56,285,573,62.0272,0,255,0,0,100,1,1
57,180,809,101.61,0,255,0,0,100,1,1
58,483,664,-159.574,0,255,0,0,100,1,1
59,301,172,-134.899,0,255,0,0,100,1,1
60,747,854,129.369,0,255,0,0,100,1,1
61,337,507,-154.068,0,255,0,0,100,1,1
62,566,644,-156.427,0,255,0,0,100,1,1
63,247,895,-166.372,0,255,0,0,100,1,1
64,769,481,109,0,255,0,0,100,1,1
65,584,352,-14.6559,0,255,0,0,100,1,1
66,741,135,-31.7858,0,255,0,0,100,1,1
67,328,491,-0.337855,0,255,0,0,100,1,1
68,236,625,76.154,0,255,0,0,100,1,1
69,827,382,-32.6221,0,255,0,0,100,1,1
70,703,601,175.263,0,255,0,0,100,1,1
71,535,695,158.243,0,255,0,0,100,1,1
72,296,260,106.613,0,255,0,0,100,1,1
73,384,795,69.3476,0,255,0,0,100,1,1
74,551,398,5.49185,0,255,0,0,100,1,1
75,282,503,125.27,0,255,0,0,100,1,1
76,118,533,161.103,0,255,0,0,100,1,1
77,324,850,178.178,0,255,0,0,100,1,1
78,188,450,56.7783,0,255,0,0,100,1,1
79,400,400,-91.4466,0,255,0,0,100,1,1
80,172,562,108.687,0,255,0,0,100,1,1
81,666,612,60.4733,0,255,0,0,100,1,1
82,892,730,-12.9599,0,255,0,0,100,1,1
83,608,71,-170.334,0,255,0,0,100,1,1
84,926,508,-92.2623,0,255,0,0,100,1,1
85,570,543,-112.612,0,255,0,0,100,1,1
86,275,287,-67.9086,0,255,0,0,100,1,1
87,558,254,134.273,0,255,0,0,100,1,1
88,800,635,-90.5155,0,255,0,0,100,1,1
89,470,711,-170.392,0,255,0,0,100,1,1
90,848,183,-3.43413,0,255,0,0,100,1,1
91,153,616,102.838,0,255,0,0,100,1,1
92,106,744,-15.7,0,255,0,0,100,1,1
93,625,618,-24.6105,0,255,0,0,100,1,1
94,44,530,-107.217,0,255,0,0,100,1,1
95,122,323,-178.107,0,255,0,0,100,1,1
96,349,559,-87.8409,0,255,0,0,100,1,1
97,372,417,37.5887,0,255,0,0,100,1,1
98,394,933,144.073,0,255,0,0,100,1,1
99,258,523,122.865,0,255,0,0,100,1,1
100,251,629,66.216,0,255,0,0,100,1,1
101,563,244,-157.677,0,255,0,0,100,1,1
102,545,566,12.1598,0,255,0,0,100,1,1
103,664,351,-30.8959,0,255,0,0,100,1,1
104,923,416,-109.519,0,255,0,0,100,1,1
105,747,595,1.40323,0,255,0,0,100,1,1
106,433,704,152.557,0,255,0,0,100,1,1
107,468,111,-61.356,0,255,0,0,100,1,1
108,776,616,43.7404,0,255,0,0,100,1,1
109,457,168,150.342,0,255,0,0,100,1,1
110,446,333,-114.649,0,255,0,0,100,1,1
