### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,620,777,159.679,0,255,0,0,100,1,1
1,589,960,164.496,0,255,0,0,100,1,1
2,458,753,-35.9568,0,255,0,0,100,1,1
3,499,785,-24.1961,0,255,0,0,100,1,1
4,789,243,175.06,0,255,0,0,100,1,1
5,159,458,157.713,0,255,0,0,100,1,1
6,565,223,26.2436,0,255,0,0,100,1,1
7,539,403,-176.805,0,255,0,0,100,1,1
8,115,736,-74.4296,0,255,0,0,100,1,1
9,903,304,-73.0422,0,255,0,0,100,1,1
10,290,757,23.4436,0,255,0,0,100,1,1
11,639,425,37.2911,0,255,0,0,100,1,1
12,349,835,-28.6654,0,255,0,0,100,1,1
13,439,627,-65.8071,0,255,0,0,100,1,1
14,251,568,-63.3457,0,255,0,0,100,1,1
15,227,556,98.3344,0,255,0,0,100,1,1
16,234,884,-167.075,0,255,0,0,100,1,1
17,474,199,-177.097,0,255,0,0,100,1,1
18,751,782,135.651,0,255,0,0,100,1,1
19,694,320,-41.5717,0,255,0,0,100,1,1
20,286,340,79.2219,0,255,0,0,100,1,1
21,566,847,-90.8715,0,255,0,0,100,1,1
22,613,749,24.8327,0,255,0,0,100,1,1
23,394,466,113.734,0,255,0,0,100,1,1
24,784,411,73.3479,0,255,0,0,100,1,1
25,715,442,-95.8279,0,255,0,0,100,1,1
26,673,848,-145.557,0,255,0,0,100,1,1
27,299,314,-49.7168,0,255,0,0,100,1,1
28,490,191,29.4142,0,255,0,0,100,1,1
29,251,709,-16.5132,0,255,0,0,100,1,1
30,242,175,54.8928,0,255,0,0,100,1,1
31,103,610,137.724,0,255,0,0,100,1,1
32,545,201,113.219,0,255,0,0,100,1,1
33,481,623,-25.1648,0,255,0,0,100,1,1
34,723,320,-152.022,0,255,0,0,100,1,1
35,853,505,70.2867,0,255,0,0,100,1,1
36,624,637,150.51,0,255,0,0,100,1,1
37,144,235,-46.0169,0,255,0,0,100,1,1
38,636,681,-47.3034,0,255,0,0,100,1,1
39,583,309,-13.2151,0,255,0,0,100,1,1
40,546,320,-129.837,0,255,0,0,100,1,1
41,51,465,-34.2816,0,255,0,0,100,1,1
42,668,203,110.152,0,255,0,0,100,1,1
43,834,370,6.59098,0,255,0,0,100,1,1
44,178,392,115.238,0,255,0,0,100,1,1
45,270,538,113.707,0,255,0,0,100,1,1
46,268,793,77.8348,0,255,0,0,100,1,1
47,596,267,145.294,0,255,0,0,100,1,1
48,407,581,136.2,0,255,0,0,100,1,1
49,421,297,-95.2304,0,255,0,0,100,1,1
50,140,421,166.507,0,255,0,0,100,1,1
51,164,378,-74.0617,0,255,0,0,100,1,1
52,389,773,74.0943,0,255,0,0,100,1,1
53,295,220,44.7033,0,255,0,0,100,1,1
54,439,523,31.314,0,255,0,0,100,1,1
55,550,223,20.0359,0,255,0,0,100,1,1
56,444,732,89.0719,0,255,0,0,100,1,1
57,727,131,-149.594,0,255,0,0,100,1,1
58,450,735,155.721,0,255,0,0,100,1,1
59,600,695,66.4925,0,255,0,0,100,1,1
60,73,655,-123.043,0,255,0,0,100,1,1
61,580,593,-96.7339,0,255,0,0,100,1,1
62,285,668,-106.901,0,255,0,0,100,1,1
63,695,222,13.7584,0,255,0,0,100,1,1
64,555,85,-119.611,0,255,0,0,100,1,1
65,442,594,-74.277,0,255,0,0,100,1,1
66,175,499,-0.194028,0,255,0,0,100,1,1
