### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,391,272,-120.562,0,255,0,0,100,1,1
1,907,339,126.294,0,255,0,0,100,1,1
2,309,636,-150.182,0,255,0,0,100,1,1
3,854,354,-143.678,0,255,0,0,100,1,1
4,558,889,-123.504,0,255,0,0,100,1,1
5,422,817,-46.1323,0,255,0,0,100,1,1
6,222,784,-22.9038,0,255,0,0,100,1,1
7,197,208,-86.7121,0,255,0,0,100,1,1
8,247,313,-97.2179,0,255,0,0,100,1,1
9,113,361,60.1699,0,255,0,0,100,1,1
10,31,434,175.985,0,255,0,0,100,1,1
11,380,586,-11.1251,0,255,0,0,100,1,1
12,463,65,-100.211,0,255,0,0,100,1,1
13,920,498,33.5781,0,255,0,0,100,1,1
14,196,288,99.1972,0,255,0,0,100,1,1
15,965,420,-130.065,0,255,0,0,100,1,1
16,497,292,-54.8768,0,255,0,0,100,1,1
17,128,789,-59.5538,0,255,0,0,100,1,1
18,667,567,-126.977,0,255,0,0,100,1,1
19,235,810,-105.325,0,255,0,0,100,1,1
20,453,555,-80.187,0,255,0,0,100,1,1
21,354,907,53.8309,0,255,0,0,100,1,1
22,710,753,68.3924,0,255,0,0,100,1,1
23,816,631,143.677,0,255,0,0,100,1,1
24,166,643,101.793,0,255,0,0,100,1,1
25,654,129,-78.0762,0,255,0,0,100,1,1
26,901,685,-33.4743,0,255,0,0,100,1,1
27,245,145,-144.457,0,255,0,0,100,1,1
28,530,948,-141.785,0,255,0,0,100,1,1
29,645,335,-31.684,0,255,0,0,100,1,1
30,398,100,144.066,0,255,0,0,100,1,1
31,665,924,-57.1777,0,255,0,0,100,1,1
32,446,538,118.338,0,255,0,0,100,1,1
33,269,385,174.312,0,255,0,0,100,1,1
34,547,118,-45.5692,0,255,0,0,100,1,1
35,677,553,20.3578,0,255,0,0,100,1,1
36,444,482,106.84,0,255,0,0,100,1,1
37,268,444,-30.8853,0,255,0,0,100,1,1
38,202,738,39.7285,0,255,0,0,100,1,1
39,616,634,-53.5124,0,255,0,0,100,1,1
40,604,828,-69.3963,0,255,0,0,100,1,1
41,366,293,74.7768,0,255,0,0,100,1,1
42,241,626,-68.7622,0,255,0,0,100,1,1
43,652,286,4.56915,0,255,0,0,100,1,1
44,596,530,-74.7213,0,255,0,0,100,1,1
45,611,153,-31.7035,0,255,0,0,100,1,1
46,441,912,65.2391,0,255,0,0,100,1,1
47,415,389,124.834,0,255,0,0,100,1,1
