### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,587,465,2.19404,0,255,0,0,100,1,1
1,462,524,4.12473,0,255,0,0,100,1,1
2,497,883,64.647,0,255,0,0,100,1,1
3,457,956,-76.1773,0,255,0,0,100,1,1
4,35,412,80.7125,0,255,0,0,100,1,1
5,449,218,-118.5,0,255,0,0,100,1,1
6,593,304,-79.4159,0,255,0,0,100,1,1
7,350,210,63.4266,0,255,0,0,100,1,1
8,662,841,-85.9649,0,255,0,0,100,1,1
9,921,372,-76.0941,0,255,0,0,100,1,1
10,358,639,-66.1378,0,255,0,0,100,1,1
11,717,371,164.161,0,255,0,0,100,1,1
12,697,431,126.204,0,255,0,0,100,1,1
13,776,678,178.06,0,255,0,0,100,1,1
14,85,616,-140.963,0,255,0,0,100,1,1
15,79,509,27.2122,0,255,0,0,100,1,1
16,486,244,-10.0393,0,255,0,0,100,1,1
17,613,621,-74.2192,0,255,0,0,100,1,1
18,802,406,29.2587,0,255,0,0,100,1,1
19,511,454,-154.025,0,255,0,0,100,1,1
20,395,133,-79.2596,0,255,0,0,100,1,1
21,408,583,35.5244,0,255,0,0,100,1,1
22,757,787,-30.4464,0,255,0,0,100,1,1
23,839,652,-28.5363,0,255,0,0,100,1,1
24,657,900,160.691,0,255,0,0,100,1,1
25,467,961,-134.022,0,255,0,0,100,1,1
26,924,561,170.788,0,255,0,0,100,1,1
27,629,526,-88.4296,0,255,0,0,100,1,1
28,151,445,-130.179,0,255,0,0,100,1,1
29,788,809,-27.5569,0,255,0,0,100,1,1
30,466,363,69.4828,0,255,0,0,100,1,1
31,288,169,-57.8605,0,255,0,0,100,1,1
32,492,669,-144.776,0,255,0,0,100,1,1
33,125,411,-84.4339,0,255,0,0,100,1,1
34,246,115,99.8552,0,255,0,0,100,1,1
35,396,660,-17.7501,0,255,0,0,100,1,1
36,517,167,-105.205,0,255,0,0,100,1,1
37,59,323,129.588,0,255,0,0,100,1,1
38,314,236,-74.368,0,255,0,0,100,1,1
39,269,516,158.993,0,255,0,0,100,1,1
40,318,813,131.962,0,255,0,0,100,1,1
41,675,321,68.4267,0,255,0,0,100,1,1
42,211,276,-129.874,0,255,0,0,100,1,1
43,333,813,-55.6342,0,255,0,0,100,1,1
44,613,259,56.6255,0,255,0,0,100,1,1
45,562,612,111.551,0,255,0,0,100,1,1
46,513,375,-34.0587,0,255,0,0,100,1,1
47,950,644,172.91,0,255,0,0,100,1,1
48,771,211,-0.405381,0,255,0,0,100,1,1
49,290,582,131.374,0,255,0,0,100,1,1
50,189,848,0.873231,0,255,0,0,100,1,1
