### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,621,715,32.0869,0,255,0,0,100,1,1
1,171,531,176.02,0,255,0,0,100,1,1
2,52,624,179.125,0,255,0,0,100,1,1
3,895,514,-24.0137,0,255,0,0,100,1,1
4,403,965,-5.22972,0,255,0,0,100,1,1
5,53,472,-16.6844,0,255,0,0,100,1,1
6,760,715,50.7309,0,255,0,0,100,1,1
7,704,301,-20.2415,0,255,0,0,100,1,1
8,862,564,-4.74146,0,255,0,0,100,1,1
9,158,228,68.14,0,255,0,0,100,1,1
10,169,185,-87.1204,0,255,0,0,100,1,1
11,625,788,-94.7446,0,255,0,0,100,1,1
12,179,444,105.118,0,255,0,0,100,1,1
13,547,757,-133.25,0,255,0,0,100,1,1
14,238,525,-12.6847,0,255,0,0,100,1,1
15,229,639,-160.665,0,255,0,0,100,1,1
16,676,116,51.8525,0,255,0,0,100,1,1
17,543,252,62.6361,0,255,0,0,100,1,1
18,513,374,144.843,0,255,0,0,100,1,1
19,606,169,-33.0265,0,255,0,0,100,1,1
20,193,138,-174.799,0,255,0,0,100,1,1
21,208,339,-138.268,0,255,0,0,100,1,1
22,833,667,108.544,0,255,0,0,100,1,1
23,590,567,158.407,0,255,0,0,100,1,1
24,86,557,-130.124,0,255,0,0,100,1,1
25,678,819,64.337,0,255,0,0,100,1,1
26,450,653,152.214,0,255,0,0,100,1,1
27,756,319,154.888,0,255,0,0,100,1,1
28,719,647,58.8826,0,255,0,0,100,1,1
29,884,319,165.44,0,255,0,0,100,1,1
30,397,104,46.9541,0,255,0,0,100,1,1
31,126,573,113.399,0,255,0,0,100,1,1
32,236,568,-153.996,0,255,0,0,100,1,1
33,126,733,-19.9311,0,255,0,0,100,1,1
34,81,568,24.0444,0,255,0,0,100,1,1
35,384,375,-83.5311,0,255,0,0,100,1,1
36,208,515,69.9571,0,255,0,0,100,1,1
37,196,711,-167.322,0,255,0,0,100,1,1
38,59,555,62.1478,0,255,0,0,100,1,1
39,69,372,-12.3362,0,255,0,0,100,1,1
40,372,847,11.5617,0,255,0,0,100,1,1
41,320,227,-60.7141,0,255,0,0,100,1,1
42,656,388,0.683069,0,255,0,0,100,1,1
43,386,244,-137.537,0,255,0,0,100,1,1
44,486,343,-78.4485,0,255,0,0,100,1,1
45,524,114,-172.117,0,255,0,0,100,1,1
46,759,118,56.2317,0,255,0,0,100,1,1
47,896,663,55.3529,0,255,0,0,100,1,1
48,469,852,66.8961,0,255,0,0,100,1,1
49,396,448,151.124,0,255,0,0,100,1,1
50,641,776,168.243,0,255,0,0,100,1,1
51,155,358,58.2001,0,255,0,0,100,1,1
52,368,76,40.0525,0,255,0,0,100,1,1
53,400,593,-137.542,0,255,0,0,100,1,1
54,357,239,-177.44,0,255,0,0,100,1,1
55,188,641,-121.297,0,255,0,0,100,1,1
56,283,822,23.4215,0,255,0,0,100,1,1
57,727,380,-67.3479,0,255,0,0,100,1,1
58,542,674,158.74,0,255,0,0,100,1,1
59,365,137,-42.8279,0,255,0,0,100,1,1
60,317,495,56.8697,0,255,0,0,100,1,1
61,690,553,-22.7394,0,255,0,0,100,1,1
62,831,519,-145.186,0,255,0,0,100,1,1
63,378,585,-107.383,0,255,0,0,100,1,1
64,659,935,-101.037,0,255,0,0,100,1,1
65,610,888,-94.355,0,255,0,0,100,1,1
66,677,623,64.1821,0,255,0,0,100,1,1
67,295,371,-64.8592,0,255,0,0,100,1,1
68,435,797,-177.707,0,255,0,0,100,1,1
69,513,728,-1.84923,0,255,0,0,100,1,1
70,830,622,-131.65,0,255,0,0,100,1,1
71,443,893,-74.542,0,255,0,0,100,1,1
72,837,293,-40.5052,0,255,0,0,100,1,1
73,74,470,-56.3428,0,255,0,0,100,1,1
74,63,693,136.947,0,255,0,0,100,1,1
75,140,540,-53.7177,0,255,0,0,100,1,1
76,619,949,110.007,0,255,0,0,100,1,1
77,650,684,39.6947,0,255,0,0,100,1,1
78,183,845,-34.2939,0,255,0,0,100,1,1
79,325,490,159.869,0,255,0,0,100,1,1
80,527,239,6.35176,0,255,0,0,100,1,1
81,642,607,17.6442,0,255,0,0,100,1,1
82,566,456,145.504,0,255,0,0,100,1,1
83,377,469,144.771,0,255,0,0,100,1,1
84,114,582,15.4599,0,255,0,0,100,1,1
85,475,668,121.746,0,255,0,0,100,1,1
86,491,774,58.2396,0,255,0,0,100,1,1
87,117,481,122.106,0,255,0,0,100,1,1
88,151,292,-175.27,0,255,0,0,100,1,1
89,73,674,144.571,0,255,0,0,100,1,1
90,347,496,161.837,0,255,0,0,100,1,1
91,342,367,-158.591,0,255,0,0,100,1,1
92,363,538,-171.798,0,255,0,0,100,1,1
93,958,462,-90.1705,0,255,0,0,100,1,1
94,299,432,14.6496,0,255,0,0,100,1,1
95,663,384,-69.7719,0,255,0,0,100,1,1
96,573,419,37.4617,0,255,0,0,100,1,1
97,437,909,-14.7421,0,255,0,0,100,1,1
98,129,471,143.155,0,255,0,0,100,1,1
99,558,374,-25.2874,0,255,0,0,100,1,1
100,866,449,162.242,0,255,0,0,100,1,1
101,500,966,102.454,0,255,0,0,100,1,1
102,103,312,172.567,0,255,0,0,100,1,1
103,657,758,-71.5183,0,255,0,0,100,1,1
104,671,87,83.2245,0,255,0,0,100,1,1
105,552,701,33.5295,0,255,0,0,100,1,1
106,479,409,122.065,0,255,0,0,100,1,1
107,569,894,-152.841,0,255,0,0,100,1,1
108,801,145,-131.737,0,255,0,0,100,1,1
109,190,243,79.9947,0,255,0,0,100,1,1
110,496,306,63.6578,0,255,0,0,100,1,1
111,264,672,-100.874,0,255,0,0,100,1,1
112,894,762,-69.0018,0,255,0,0,100,1,1
113,872,407,124.615,0,255,0,0,100,1,1
114,893,388,33.472,0,255,0,0,100,1,1
115,418,252,-45.9614,0,255,0,0,100,1,1
116,331,693,8.74085,0,255,0,0,100,1,1
117,765,389,-167.767,0,255,0,0,100,1,1
118,151,178,28.6529,0,255,0,0,100,1,1
119,630,268,127.412,0,255,0,0,100,1,1
