### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,424,453,-171.316,0,255,0,0,100,1,1
1,657,360,-80.2029,0,255,0,0,100,1,1
2,229,320,-45.7445,0,255,0,0,100,1,1
3,460,128,60.6899,0,255,0,0,100,1,1
4,772,817,45.6269,0,255,0,0,100,1,1
5,765,348,29.754,0,255,0,0,100,1,1
6,615,470,27.1272,0,255,0,0,100,1,1
7,890,559,16.7564,0,255,0,0,100,1,1
8,735,84,3.73105,0,255,0,0,100,1,1
9,820,575,-97.803,0,255,0,0,100,1,1
10,641,741,-165.3,0,255,0,0,100,1,1
11,361,537,49.2432,0,255,0,0,100,1,1
12,315,349,-167.155,0,255,0,0,100,1,1
13,732,120,67.4634,0,255,0,0,100,1,1
14,353,884,57.8267,0,255,0,0,100,1,1
15,120,488,151.963,0,255,0,0,100,1,1
16,656,200,174.891,0,255,0,0,100,1,1
17,696,494,82.8206,0,255,0,0,100,1,1
18,482,414,65.5132,0,255,0,0,100,1,1
19,202,560,79.9043,0,255,0,0,100,1,1
20,950,643,-158.2,0,255,0,0,100,1,1
21,306,759,-92.5673,0,255,0,0,100,1,1
22,576,793,22.4669,0,255,0,0,100,1,1
23,483,669,-123.005,0,255,0,0,100,1,1
24,294,234,-125.037,0,255,0,0,100,1,1
25,208,261,34.8691,0,255,0,0,100,1,1
26,345,664,174.954,0,255,0,0,100,1,1
27,377,263,18.255,0,255,0,0,100,1,1
28,701,219,125.14,0,255,0,0,100,1,1
29,452,701,74.4118,0,255,0,0,100,1,1
30,503,69,-100.199,0,255,0,0,100,1,1
31,377,118,-124.858,0,255,0,0,100,1,1
32,904,330,8.27862,0,255,0,0,100,1,1
33,632,194,117.874,0,255,0,0,100,1,1
34,449,957,22.8781,0,255,0,0,100,1,1
35,578,831,-69.3974,0,255,0,0,100,1,1
36,917,656,-29.2281,0,255,0,0,100,1,1
37,216,442,21.746,0,255,0,0,100,1,1
38,245,693,-146.105,0,255,0,0,100,1,1
39,767,771,165.495,0,255,0,0,100,1,1
40,484,225,-30.5037,0,255,0,0,100,1,1
41,511,487,-109.562,0,255,0,0,100,1,1
42,499,761,172.22,0,255,0,0,100,1,1
43,729,739,68.2557,0,255,0,0,100,1,1
44,179,539,-91.6191,0,255,0,0,100,1,1
45,770,639,120.763,0,255,0,0,100,1,1
46,443,505,-103.703,0,255,0,0,100,1,1
47,217,351,156.951,0,255,0,0,100,1,1
48,581,934,122.208,0,255,0,0,100,1,1
49,642,443,-22.6837,0,255,0,0,100,1,1
50,908,437,-79.8928,0,255,0,0,100,1,1
51,725,301,-30.6304,0,255,0,0,100,1,1
52,241,653,-162.069,0,255,0,0,100,1,1
53,421,909,-11.6989,0,255,0,0,100,1,1
54,348,79,-160.083,0,255,0,0,100,1,1
55,318,109,-91.9333,0,255,0,0,100,1,1
56,268,905,148.411,0,255,0,0,100,1,1
57,795,490,-92.9367,0,255,0,0,100,1,1
58,222,585,73.5136,0,255,0,0,100,1,1
59,529,394,68.5432,0,255,0,0,100,1,1
60,763,228,-15.6319,0,255,0,0,100,1,1
61,428,255,149.894,0,255,0,0,100,1,1
62,456,740,-7.45024,0,255,0,0,100,1,1
63,639,719,102.127,0,255,0,0,100,1,1
64,274,700,-115.029,0,255,0,0,100,1,1
65,759,461,-115.26,0,255,0,0,100,1,1
66,833,552,87.6481,0,255,0,0,100,1,1
67,148,355,79.2396,0,255,0,0,100,1,1
68,598,320,147.488,0,255,0,0,100,1,1
69,649,416,-56.7369,0,255,0,0,100,1,1
70,245,845,24.1186,0,255,0,0,100,1,1
71,737,179,49.6519,0,255,0,0,100,1,1
72,715,520,-9.0279,0,255,0,0,100,1,1
73,407,372,31.4597,0,255,0,0,100,1,1
74,384,258,-109.727,0,255,0,0,100,1,1
75,793,628,71.3351,0,255,0,0,100,1,1
76,524,400,-140.75,0,255,0,0,100,1,1
77,739,821,-134.467,0,255,0,0,100,1,1
78,498,739,-125.534,0,255,0,0,100,1,1
79,637,343,-70.022,0,255,0,0,100,1,1
80,274,355,42.9814,0,255,0,0,100,1,1
81,543,482,58.2236,0,255,0,0,100,1,1
82,790,253,51.886,0,255,0,0,100,1,1
83,463,49,23.3294,0,255,0,0,100,1,1
84,717,574,107.6,0,255,0,0,100,1,1
