### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,628,668,-52.1182,0,255,0,0,100,1,1
1,944,371,-53.2681,0,255,0,0,100,1,1
2,429,944,30.9924,0,255,0,0,100,1,1
3,122,679,-9.67834,0,255,0,0,100,1,1
4,215,795,-73.5573,0,255,0,0,100,1,1
5,550,958,-164.619,0,255,0,0,100,1,1
6,787,470,20.1159,0,255,0,0,100,1,1
7,695,184,46.4602,0,255,0,0,100,1,1
8,596,879,-88.869,0,255,0,0,100,1,1
9,515,772,54.4337,0,255,0,0,100,1,1
10,420,673,92.4681,0,255,0,0,100,1,1
11,710,158,-58.5353,0,255,0,0,100,1,1
12,899,368,49.9313,0,255,0,0,100,1,1
13,898,625,108.455,0,255,0,0,100,1,1
14,715,892,179.688,0,255,0,0,100,1,1
15,151,634,137.874,0,255,0,0,100,1,1
16,201,503,33.503,0,255,0,0,100,1,1
17,846,660,44.8915,0,255,0,0,100,1,1
18,290,845,-29.1093,0,255,0,0,100,1,1
19,522,140,47.3153,0,255,0,0,100,1,1
20,891,413,-63.9125,0,255,0,0,100,1,1
21,710,793,-106.915,0,255,0,0,100,1,1
22,37,417,-172.096,0,255,0,0,100,1,1
23,112,709,137.548,0,255,0,0,100,1,1
24,763,717,72.1967,0,255,0,0,100,1,1
25,459,633,-20.7612,0,255,0,0,100,1,1
26,646,602,83.6017,0,255,0,0,100,1,1
27,489,715,-100.415,0,255,0,0,100,1,1
28,685,560,-121.139,0,255,0,0,100,1,1
29,559,69,123.038,0,255,0,0,100,1,1
30,554,375,-162.269,0,255,0,0,100,1,1
31,397,140,69.1392,0,255,0,0,100,1,1
32,831,799,-132.421,0,255,0,0,100,1,1
33,411,140,50.2169,0,255,0,0,100,1,1
34,773,483,17.738,0,255,0,0,100,1,1
35,945,378,-92.6092,0,255,0,0,100,1,1
36,298,236,-52.9302,0,255,0,0,100,1,1
37,771,196,36.0741,0,255,0,0,100,1,1
38,379,188,76.5231,0,255,0,0,100,1,1
39,100,760,67.7171,0,255,0,0,100,1,1
40,794,510,-123.201,0,255,0,0,100,1,1
41,574,881,120.707,0,255,0,0,100,1,1
42,481,728,92.8137,0,255,0,0,100,1,1
43,362,267,12.7523,0,255,0,0,100,1,1
44,943,485,19.3807,0,255,0,0,100,1,1
45,506,276,7.82183,0,255,0,0,100,1,1
46,563,659,7.50541,0,255,0,0,100,1,1
47,675,365,-120.567,0,255,0,0,100,1,1
48,699,902,-58.489,0,255,0,0,100,1,1
49,726,316,-51.625,0,255,0,0,100,1,1
50,650,851,123.312,0,255,0,0,100,1,1
51,727,509,14.0505,0,255,0,0,100,1,1
52,353,197,-55.0021,0,255,0,0,100,1,1
53,361,671,18.926,0,255,0,0,100,1,1
54,159,365,26.2656,0,255,0,0,100,1,1
55,683,699,79.917,0,255,0,0,100,1,1
56,221,405,-67.0671,0,255,0,0,100,1,1
57,637,235,-175.47,0,255,0,0,100,1,1
58,247,110,-157.809,0,255,0,0,100,1,1
59,398,959,-165.835,0,255,0,0,100,1,1
60,122,773,38.1397,0,255,0,0,100,1,1
61,762,725,34.5201,0,255,0,0,100,1,1
62,785,537,-119.911,0,255,0,0,100,1,1
63,165,262,80.7062,0,255,0,0,100,1,1
64,367,887,-161.965,0,255,0,0,100,1,1
65,235,387,45.973,0,255,0,0,100,1,1
66,447,696,87.8948,0,255,0,0,100,1,1
67,490,82,118.817,0,255,0,0,100,1,1
68,718,776,85.4338,0,255,0,0,100,1,1
69,771,421,123.402,0,255,0,0,100,1,1
70,532,970,148.04,0,255,0,0,100,1,1
71,62,423,-36.7982,0,255,0,0,100,1,1
72,429,141,7.01843,0,255,0,0,100,1,1
73,208,300,-126.618,0,255,0,0,100,1,1
74,675,884,-95.1725,0,255,0,0,100,1,1
75,847,805,128.505,0,255,0,0,100,1,1
76,788,189,10.0263,0,255,0,0,100,1,1
77,732,716,5.81418,0,255,0,0,100,1,1
78,408,734,95.1854,0,255,0,0,100,1,1
79,414,577,174.162,0,255,0,0,100,1,1
80,396,445,-141.034,0,255,0,0,100,1,1
81,220,518,39.0426,0,255,0,0,100,1,1
82,220,549,-165.002,0,255,0,0,100,1,1
83,328,772,152.741,0,255,0,0,100,1,1
84,809,351,-137.923,0,255,0,0,100,1,1
85,653,428,-138.904,0,255,0,0,100,1,1
86,67,474,-8.90042,0,255,0,0,100,1,1
87,323,426,145.729,0,255,0,0,100,1,1
88,594,221,46.6364,0,255,0,0,100,1,1
89,607,213,176.465,0,255,0,0,100,1,1
90,514,397,-54.4568,0,255,0,0,100,1,1
91,892,755,-165.85,0,255,0,0,100,1,1
92,807,699,173.62,0,255,0,0,100,1,1
