### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,596,790,93.2702,0,255,0,0,100,1,1
1,562,374,-177.389,0,255,0,0,100,1,1
2,487,53,153.889,0,255,0,0,100,1,1
3,832,546,93.6624,0,255,0,0,100,1,1
4,217,365,-126.936,0,255,0,0,100,1,1
5,349,857,35.399,0,255,0,0,100,1,1
6,496,670,-153.953,0,255,0,0,100,1,1
7,369,386,90.3655,0,255,0,0,100,1,1
8,514,197,37.7553,0,255,0,0,100,1,1
9,814,647,-131.845,0,255,0,0,100,1,1
10,299,271,178.346,0,255,0,0,100,1,1
11,463,361,166.204,0,255,0,0,100,1,1
12,652,279,-152.817,0,255,0,0,100,1,1
13,286,900,-12.5197,0,255,0,0,100,1,1
14,441,957,-16.3766,0,255,0,0,100,1,1
15,199,289,5.53835,0,255,0,0,100,1,1
16,550,337,162.376,0,255,0,0,100,1,1
17,637,729,41.6744,0,255,0,0,100,1,1
18,385,232,154.163,0,255,0,0,100,1,1
19,458,725,-164.39,0,255,0,0,100,1,1
20,609,648,87.165,0,255,0,0,100,1,1
21,647,129,140.314,0,255,0,0,100,1,1
22,780,265,100.016,0,255,0,0,100,1,1
23,835,732,-62.4743,0,255,0,0,100,1,1
24,109,376,-83.5067,0,255,0,0,100,1,1
25,446,565,-35.5904,0,255,0,0,100,1,1
26,738,432,-67.2727,0,255,0,0,100,1,1
27,662,878,166.365,0,255,0,0,100,1,1
28,758,802,170.605,0,255,0,0,100,1,1
29,187,775,105.286,0,255,0,0,100,1,1
30,448,486,86.427,0,255,0,0,100,1,1
31,55,548,10.7321,0,255,0,0,100,1,1
32,765,746,172.362,0,255,0,0,100,1,1
33,931,420,69.4431,0,255,0,0,100,1,1
34,816,480,57.8866,0,255,0,0,100,1,1
35,765,517,164.901,0,255,0,0,100,1,1
36,125,233,41.612,0,255,0,0,100,1,1
37,249,286,43.5812,0,255,0,0,100,1,1
38,263,869,70.5425,0,255,0,0,100,1,1
39,356,744,58.241,0,255,0,0,100,1,1
40,689,440,159.698,0,255,0,0,100,1,1
41,512,330,-82.9873,0,255,0,0,100,1,1
42,345,112,-56.4251,0,255,0,0,100,1,1
43,270,536,95.1511,0,255,0,0,100,1,1
44,160,331,-58.0029,0,255,0,0,100,1,1
45,633,815,41.5285,0,255,0,0,100,1,1
46,536,935,24.0155,0,255,0,0,100,1,1
47,407,504,159.249,0,255,0,0,100,1,1
48,458,273,-65.8583,0,255,0,0,100,1,1
49,259,525,99.0934,0,255,0,0,100,1,1
50,221,794,-108.932,0,255,0,0,100,1,1
51,679,141,-4.90494,0,255,0,0,100,1,1
52,341,327,122.214,0,255,0,0,100,1,1
53,508,649,-17.7872,0,255,0,0,100,1,1
54,598,306,145.518,0,255,0,0,100,1,1
55,250,903,115.42,0,255,0,0,100,1,1
56,302,609,24.7794,0,255,0,0,100,1,1
57,419,53,155.472,0,255,0,0,100,1,1
58,595,189,-103.097,0,255,0,0,100,1,1
59,268,700,-179.705,0,255,0,0,100,1,1
60,266,840,-102.689,0,255,0,0,100,1,1
61,857,535,14.4544,0,255,0,0,100,1,1
62,429,292,-39.3433,0,255,0,0,100,1,1
63,207,310,88.39,0,255,0,0,100,1,1
64,296,158,-75.8551,0,255,0,0,100,1,1
65,596,332,-155.218,0,255,0,0,100,1,1
66,189,326,80.1787,0,255,0,0,100,1,1
67,970,476,37.8378,0,255,0,0,100,1,1
68,251,218,48.539,0,255,0,0,100,1,1
69,394,718,106.916,0,255,0,0,100,1,1
70,530,289,-133.161,0,255,0,0,100,1,1
71,528,327,-38.9866,0,255,0,0,100,1,1
72,575,724,-115.045,0,255,0,0,100,1,1
73,876,526,-21.4666,0,255,0,0,100,1,1
74,559,603,-70.4234,0,255,0,0,100,1,1
75,795,206,-176.366,0,255,0,0,100,1,1
76,308,430,-62.0851,0,255,0,0,100,1,1
77,495,839,-99.7045,0,255,0,0,100,1,1
78,398,112,142.99,0,255,0,0,100,1,1
79,85,350,83.3372,0,255,0,0,100,1,1
80,604,821,-2.4932,0,255,0,0,100,1,1
81,831,612,-149.957,0,255,0,0,100,1,1
82,566,95,106.02,0,255,0,0,100,1,1
83,603,545,-13.0988,0,255,0,0,100,1,1
84,722,668,171.55,0,255,0,0,100,1,1
85,541,106,17.9889,0,255,0,0,100,1,1
86,752,627,-84.6394,0,255,0,0,100,1,1
87,737,416,-1.37655,0,255,0,0,100,1,1
88,346,435,52.4263,0,255,0,0,100,1,1
89,707,470,42.558,0,255,0,0,100,1,1
90,637,238,-23.7334,0,255,0,0,100,1,1
91,291,650,0.448143,0,255,0,0,100,1,1
92,463,338,-102.609,0,255,0,0,100,1,1
93,454,164,-71.6134,0,255,0,0,100,1,1
94,137,395,-56.7833,0,255,0,0,100,1,1
95,467,782,142.353,0,255,0,0,100,1,1
96,814,291,59.4189,0,255,0,0,100,1,1
97,784,488,-157.609,0,255,0,0,100,1,1
98,71,620,90.8629,0,255,0,0,100,1,1
99,686,522,-115.078,0,255,0,0,100,1,1
100,457,540,-109.365,0,255,0,0,100,1,1
101,576,833,-101.796,0,255,0,0,100,1,1
102,481,646,146.867,0,255,0,0,100,1,1
103,200,673,147.285,0,255,0,0,100,1,1
104,617,293,4.49025,0,255,0,0,100,1,1
105,476,271,123.643,0,255,0,0,100,1,1
106,674,637,19.3027,0,255,0,0,100,1,1
107,461,807,0.811571,0,255,0,0,100,1,1
108,307,406,-1.28763,0,255,0,0,100,1,1
109,316,787,-135.205,0,255,0,0,100,1,1
110,756,580,-60.5082,0,255,0,0,100,1,1
111,547,482,54.8258,0,255,0,0,100,1,1
112,782,304,-153.06,0,255,0,0,100,1,1
113,700,913,-54.6115,0,255,0,0,100,1,1
114,601,342,-67.3262,0,255,0,0,100,1,1
115,875,488,-76.7137,0,255,0,0,100,1,1
116,132,476,6.4555,0,255,0,0,100,1,1
